ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-03-16,311.1059236505232,0.07405839330056915,180.3632437532216,311.1059236505232,311.1059236505232,-220.4065084233307,-220.4065084233307,-220.4065084233307,2.3937613409983576,2.3937613409983576,2.3937613409983576,-222.80026976432907,-222.80026976432907,-222.80026976432907,0.0,0.0,0.0,90.6994152271925
2024-03-17,311.1064703086331,-5.0422893358612635,177.08176222590265,311.1064703086331,311.1064703086331,-222.91132708610493,-222.91132708610493,-222.91132708610493,-2.774050819456191,-2.774050819456191,-2.774050819456191,-220.13727626664874,-220.13727626664874,-220.13727626664874,0.0,0.0,0.0,88.19514322252817
2024-03-18,311.1070169667431,10.838387850176115,186.22426259231273,311.1070169667431,311.1070169667431,-211.426876836309,-211.426876836309,-211.426876836309,5.971834002903568,5.971834002903568,5.971834002903568,-217.39871083921255,-217.39871083921255,-217.39871083921255,0.0,0.0,0.0,99.68014013043413
2024-03-19,311.107563624853,11.782444997850735,195.26620866739415,311.107563624853,311.107563624853,-211.25042830008306,-211.25042830008306,-211.25042830008306,3.4671185824085002,3.4671185824085002,3.4671185824085002,-214.71754688249158,-214.71754688249158,-214.71754688249158,0.0,0.0,0.0,99.85713532476996
2024-03-20,311.10811028296297,6.094077685853716,186.48527324533418,311.10811028296297,311.10811028296297,-215.93659023308763,-215.93659023308763,-215.93659023308763,-3.7159393420337725,-3.7159393420337725,-3.7159393420337725,-212.22065089105388,-212.22065089105388,-212.22065089105388,0.0,0.0,0.0,95.17152004987534
2024-03-21,311.108656941073,8.526837351508751,200.16776507001978,311.108656941073,311.108656941073,-209.37985766972474,-209.37985766972474,-209.37985766972474,0.6449125818805937,0.6449125818805937,0.6449125818805937,-210.0247702516053,-210.0247702516053,-210.0247702516053,0.0,0.0,0.0,101.72879927134824
2024-03-22,311.1092035991829,7.670446440625944,184.5891397143494,311.1092035991829,311.1092035991829,-214.22048190680434,-214.22048190680434,-214.22048190680434,-5.987636346693252,-5.987636346693252,-5.987636346693252,-208.2328455601111,-208.2328455601111,-208.2328455601111,0.0,0.0,0.0,96.88872169237854
2024-03-23,311.10975025729283,14.566814571152397,196.53302026717384,311.10975025729283,311.10975025729283,-204.53700169901728,-204.53700169901728,-204.53700169901728,2.3937613410041036,2.3937613410041036,2.3937613410041036,-206.93076304002142,-206.93076304002142,-206.93076304002142,0.0,0.0,0.0,106.57274855827555
2024-03-24,311.1102969154028,13.878191581624066,196.86442453697887,311.1102969154028,311.1102969154028,-208.95870051305135,-208.95870051305135,-208.95870051305135,-2.7740508194694278,-2.7740508194694278,-2.7740508194694278,-206.18464969358195,-206.18464969358195,-206.18464969358195,0.0,0.0,0.0,102.15159640235143
2024-03-25,311.11084357351274,23.513044836038386,196.47428785446354,311.11084357351274,311.11084357351274,-200.06696366335876,-200.06696366335876,-200.06696366335876,5.971834002898646,5.971834002898646,5.971834002898646,-206.0387976662574,-206.0387976662574,-206.0387976662574,0.0,0.0,0.0,111.04387991015398
